"","exp_beta","weibull_beta","cox_beta","dist","gamma","n"
"1179",-0.157090632230689,-0.240142419198261,-0.229740311941673,"weibull",2,100
"1180",-0.433500303671595,-0.602632518754098,-0.637210135646526,"weibull",2,100
"1181",-0.155411799100887,-0.234783402927187,-0.232150039801447,"weibull",2,100
"1182",-0.653041292471698,-0.884199275837873,-0.838224812395807,"weibull",2,100
"1183",-0.545949243295048,-0.699727009120453,-0.734742517096445,"weibull",2,100
"1184",-0.235328912026025,-0.342118675103514,-0.312873663752759,"weibull",2,100
"1185",-0.247776792299024,-0.399902730093012,-0.39966319226734,"weibull",2,100
"1186",-0.396555363050923,-0.603071400996758,-0.573842601343357,"weibull",2,100
"1187",-0.489065606782504,-0.702435378003481,-0.679017414468938,"weibull",2,100
"1188",-0.318907917428988,-0.40485172839084,-0.390419617385489,"weibull",2,100
"1189",0.0131499712179329,0.0313780310798085,0.032713903821064,"weibull",2,100
"1190",-0.10695533393098,-0.156125363949939,-0.152022479305623,"weibull",2,100
"1191",-0.357030369358223,-0.633494241451948,-0.627456132753854,"weibull",2,100
"1192",-0.369273911200694,-0.550265587997565,-0.575962206690925,"weibull",2,100
"1193",-0.380898804272489,-0.536240188516061,-0.548830933549895,"weibull",2,100
"1194",-0.399479856967261,-0.576802926682146,-0.622939240926635,"weibull",2,100
"1195",-0.232333310875531,-0.288290114440353,-0.271534985491653,"weibull",2,100
"1196",-0.564117753466888,-0.810003975210352,-0.770175568795268,"weibull",2,100
"1197",-0.289677823826929,-0.422833401286475,-0.425999377393322,"weibull",2,100
"1198",-0.0873669212514255,-0.130462711223689,-0.18618048997612,"weibull",2,100
"1199",-0.373913865423745,-0.478488944986047,-0.494677680719387,"weibull",2,100
"1200",-0.445774760158187,-0.744667647354253,-0.744455007890812,"weibull",2,100
"1201",-0.36589044202873,-0.58556031137277,-0.589785124415699,"weibull",2,100
"1202",-0.0567109067437152,-0.110203182557321,-0.0969373910609093,"weibull",2,100
"1203",-0.116717157390519,-0.15156251597872,-0.158837829147297,"weibull",2,100
"1204",-0.612725441688358,-0.823042211221865,-0.822676056145542,"weibull",2,100
"1205",-0.203224187956656,-0.306700209115544,-0.31943807940676,"weibull",2,100
